Scripps Memorial Hospital La Jolla,36,50324,La Jolla ,Calif.,Nonprofit and/or government,Scripps Health,More than 250,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.scripps.org/patients-and-visitors/financial-assistance,No,,200% FPL,Blue,200%-400% FPL,Blue,"Information is collected but not used to determine eligibility, according to Jancie Collins",Patient liability capped at 10% of income*,Purple,No,Yes*,Purple,Yes,No*,Purple,"Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins",No*,Purple,No*,Purple,*According to spokesperson Janice Collins,"The hospital does not sell patient debt to third party buyers. However, we do work with a company that pays us a fee for our Third Party Liability accounts that they then pursue the liable third party for reimbursement on a lien basis, according to Janice Collins",,https://www.scripps.org/locations/hospitals/scripps-memorial-hospital-la-jolla?tab=overview,
Salinas Valley Memorial Healthcare System,37,50334,Salinas,Calif.,Nonprofit and/or government,,More than 250,,,West,Yes,,,No,Yes,Yes,https://www.svmh.com/documents/content/FINANCIAL-ASSISTANCE-PROGRAM_FULL-CHARITY-CARE-DISCOUNT-PARTIAL-CHARITY-CARE-POLICIES.11414_0)_10.22.20.pdf,Yes,https://www.svmh.com/documents/content/FINANCIAL-ASSISTANCE-PROGRAM_FULL-CHARITY-CARE-DISCOUNT-PARTIAL-CHARITY-CARE-POLICIES.11414_0)_10.22.20.pdf,200% FPL,Blue,201%-350% FPL,Blue,Yes,"Bills exceeding $75,000",Blue,No,Yes,Blue,Yes,Yes,Blue,Yes,Yes,Yes,Blue,Yes,Blue,,,,https://www.svmh.com/contact-us/thank-you/,,64224
Torrance Memorial Medical Center,38,50351,Torrance,Calif.,Nonprofit and/or government,Cedars-Sinai Health System,More than 250,,Yes,West,Yes,,,No,Yes,Yes,https://www.torrancememorial.org/app/files/public/242e9477-bfc8-44cd-baf4-77230dbc6034/Billing%20Insurance/FAP_Eng_Add_B_2019.pdf,"Some, but not all",,200% FPL,Blue,200%-450% FPL,Blue,"Yes, assets less than $10,000. The first $10,000 of a patient’s monetary assets are excluded. After the $10,000 threshold, then 50% of all monetary assets are excluded for consideration for financial assistance.   ","Bills exceeding $100,000",Blue,No,No,Blue,Yes,No,Blue,"Not mentioned in the Financial Assistance Policy but is a practice of the hospital in very limited and rare situations, according to Erin Fiorito.","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Erin Fiorito.",Yes*,Purple,No*,Purple,*According to spokesperson Erin Fiorito,"There is a separate Credit and Collections policy mentioned in the FAP, but it is not available online.","The collection agencies contracted with the hospital will occasionally place liens on assets, but only in very limited, and rare circumstances, which generally involve deceit on the part of the patient or their guarantor. No liens have been placed in over five years, according to Erin Fiorito.

Prior to initiating any legal action, Torrance Memorial reviews each case to determine the need to proceed, according to Erin Fiorito.",https://www.torrancememorial.org,,80000
Kaiser Foundation Hospital-South Bay,39,50411,Harbor City,Calif.,Nonprofit and/or government,Kaiser Permanente,More than 250,,,West,Yes,,,No,Yes,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,400% FPL,Blue,n/a,Black,No,Bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,No,Blue,,"KP members with deductibles must qualify for free care through high medical expense, not income",,,
West Hills Hospital & Medical Center,40,50481,West Hills,Calif.,For-profit,HCA Healthcare,101-250,,,West,Yes,,,No,No,No,,,No,200% of FPL *,Purple,201%-400% FPL*,Purple,"No, according to HCA spokesman Harlow Sumerford",Patient liability capped at 4% of income**,Purple,"No, according to HCA spokesman Harlow Sumerford",No**,Purple,"Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford",No**,Purple,"No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary",No**,Purple,No**,Purple,"*According to online summary
**According to spokesperson Harlow Sumerford","-No FAP or financial assistance information available online
-All info from HCA corporate document & corporate spox Sumerford",,,
Eden Medical Center,41,50488,Castro Valley,Calif.,Nonprofit and/or government,Sutter Health,101-250,,,West,Yes,,Yes,No,Yes,Yes,https://www.sutterhealth.org/pdf/financial-assistance-policy/hospital-financial-assistance-policy-english.pdf,Yes,https://www.sutterhealth.org/pdf/financial-assistance-policy/billing-and-collection-policy-english.pdf,400% FPL*,Blue,n/a,Black,No,Patients with income below 400% FPL and bills exceeding 10% of income,Blue,No,No,Blue,Yes,No,Blue,No,No,Blue,,No,Blue,*For uninsured patients,"They don't offer discounted care but there is a standard discount of 40% for inpatient services and 20% for outpatient services, except at rural facilities where the standard discount is 20%.",,https://www.sutterhealth.org/eden,,11964
Chino Valley Medical Center,42,50586,Chino,Calif.,For profit,Prime Healthcare,101-250,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.cvmc.com/patients-visitors/financial-assistance/,"Some, but not all",https://www.cvmc.com/patients-visitors/financial-assistance/,400% FPL*,Blue,401%-450% FPL*,Blue,Yes,Patients with income below 400% FPL and bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No**,Purple,"Yes; no available policy, but is a practice, accoring to Elizabeth Nikels","No; no available policy, but is not a practice, accoring to Elizabeth Nikels",Yes,Blue,No**,Purple,"*For uninsured patients
**According to spokesperson Elizabeth Nikels",,,,,13214
Emanate Health Foothill Presbyterian Hospital,43,50597,Glendora,Calif.,Nonprofit and/or government,Emanate Health,101-250,,,West,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.emanatehealth.org/patients-visitors/financial-resources-assistance/,No,,350% FPL,Blue,351%-500% FPL,Blue,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility.",No,Black,No,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://www.emanatehealth.org,,30014
Kaiser Permanente Orange County Anaheim Medical Center,44,50609,Anaheim,Calif.,Nonprofit and/or government,Kaiser Permanente,More than 250,,,West,Yes,,,No,Yes,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,400% FPL,Blue,n/a,Black,No,Bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,No,Blue,,"KP members with deductibles must qualify for free care through high medical expense, not income",,,,02000
Henry Mayo Newhall Hospital ,45,50624,Valencia ,Calif.,Nonprofit and/or government,,More than 250,,,West,Yes,,,No,Yes,Yes,https://www.henrymayo.com/patients-visitors/billing-insurance-and-financial-assistance/financial-assistance/,"Some, but not all",https://www.henrymayo.com/patients-visitors/billing-insurance-and-financial-assistance/financial-assistance/,200% FPL,Blue,200%-350% FPL,Blue,"Yes, assets less than $250,000",Bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,Yes,Blue,"Yes (In certain circumstances, according to Patrick Moody)","Liens: Yes

Wages: Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Patrick Moody",Yes,Blue,No*,Purple,*According to spokesperson Patrick Moody,,,,
Palomar Medical Center Poway,46,50636,Poway,Calif.,Nonprofit and/or government,Palomar Health,101-250,,,West,Yes,,,No,"Yes (Its under the first link, labeled ""bill and insurance"")",Yes,https://www.palomarhealth.org/media/file/Patient%20and%20Visitor/34372%20-%20Financial%20Assistance%20Operational%20Procedure.pdf,"Some, but not all",https://www.palomarhealth.org/media/file/Patient%20and%20Visitor/34372%20-%20Financial%20Assistance%20Operational%20Procedure.pdf,250% FPL,Blue,250%-350% FPL,Blue,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility.",Patients with income between 350% and 500% of FPL and bills exceeding 10% of income,Blue,No,Yes*,Blue,Yes,No**,Purple,"Yes, according to the FAP. We have previously instructed all of our agencies to not sue, according to Chelsea Elkus.",No,Yes*,Blue,No**,Purple,"*Allowed, but not current practice, according to spokesperson Chelsea Elkus
**According to Elkus","""Derryl Acosta
Public Relations Manager
(442) 281-3264 
derryl.acosta@palomarhealth.org""

Had previously been reaching out to Derryl Acosta who no longer works there",,https://www.palomarhealth.org,,58520
"Menifee Global Medical Center
Sun City
",47,50684,Sun City,Calif.,For-profit,KPC Health,51-100,,,West,Yes,,,No,No search tool,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"on the AHA website, system has changed to Physicians for Healthy Hospitals

hospital name assigned to Medicare provider ID is now Menifee Valley Medical Center - associated with KPC Health",,https://menifeeglobalmedicalcenter.com/,
Kaiser Foundation Hospital-Santa Rosa,48,50690,Santa Rosa,Calif.,Nonprofit and/or government,Kaiser Permanente,101-250,,,West,Yes,,,No,Yes,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/northern-california-community/medical-financial-assistance-program,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/northern-california-community/medical-financial-assistance-program,400% FPL,Blue,n/a,Black,No,Bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,No,Blue,,"KP members with deductibles must qualify for free care through high medical expense, not income",,,,70098
Kaiser Foundation Hospital-Baldwin Park,49,50723,Baldwin Park,Calif.,Nonprofit and/or government,Kaiser Permanente,More than 250,,,West,Yes,,,No,Yes,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,Yes,https://about.kaiserpermanente.org/community-health/communities-we-serve/southern-california-community/medical-financial-assistance-program,400% FPL,Blue,n/a,Black,No,Bills exceeding 10% of income,Blue,No,Yes,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,No,Blue,,"KP members with deductibles must qualify for free care through high medical expense, not income",,,,03666
Greater El Monte Community Hospital,50,50738,South El Monte,Calif.,For-profit,AHMC Healthcare,101-250,,,West,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"No financial information available, not even an application or a number to call for the billing department.",,https://www.greaterelmonte.com/,,72996
Temecula Valley Hospital,51,50775,Temecula,Calif.,For-profit,Universal Health Services,101-250,,,West,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"No financial information available, not even an application or a number to call for the billing department.",,,,78120
Eastern Plumas Health Care,52,51300,Portola,Calif.,Nonprofit and/or government,,51-100,,,West,Yes,,,No,No search tool,No,,No,,400% FPL*,Purple,n/a,Black,"No, no available policy but not a practice of the hospital, according to Douglas McCoy","Yes, but no standards specified*",Purple,"No, no available policy but not a practice of the hospital, according to Douglas McCoy",No*,Purple,"Yes, no available policy but is a practice of the hospital, according to Douglas McCoy",No*,Purple,"No, no available policy but not a practice of the hospital, according to Douglas McCoy","No, no available policy but not a practice of the hospital, according to Douglas McCoy",No*,Purple,No*,Purple,*According to CEO Douglas McCoy,"No financial information available, not even an application or a number to call for the billing department.
http://www.ephc.org/documents/board/board_contact_information.pdf","McCoy says they don't have an FAP. Small hospital, they help people apply for Medicare or other programs but don't have their own charity care program themselves.

McCoy later said that they do have an FAP after emailing him to follow up.",http://www.ephc.org,,58380
Centura-St. Anthony Hospital,53,60015,Lakewood,Colo.,Nonprofit and/or government,CommonSpirit Health,101-250,,,West,Yes,,,No,Yes,Yes,https://www.centura.org/patient-tools/billing-and-financial-services/financial-help,"Some, but not all",https://www.centura.org/patient-tools/billing-and-financial-services/financial-help,250% FPL,Blue,251%-399% FPL,Blue,Yes,"Yes, but no standards specified*",Purple,Yes (Centura's market service area),Yes,Blue,"Yes, not mentioned in the financial assistance policy but is a practice of the hospital, according to Lindsay Radford",Yes,Blue,"Yes, not mentioned in the financial assistance policy but is a practice of the hospital on a case by case basis, according to Lindsay Radford","Yes, not mentioned in the financial assistance policy but not a practice of the hospital, according to Lindsay Radford. We do not file property liens or bank garnishments but we will file employment garnishments, according to Lindsay Radford.",Yes,Blue,No*,Purple,*According to spokesperson Lindsay Radford,"First hospital I've seen that specifically mentions social media and crowd funding websites are considered assets

FAP mentions Early Out Collections Policy, but it is not available online

Centura was folded into CommonSpirit in 2018 with merger of CHI and Dignity

",,,,43000
